name,cluster,origin
Cromy,Crombie,english
Crumbie,Crombie,english
Jacques,Jake,hebrew
Jake,Jake,hebrew
Jacob,Jacob,hebrew
Jacopo,Jacob,hebrew
Iacob,Jacob,hebrew
Yaqob,Jacob,hebrew
Sean,Sean,gaelic
Shawn,Sean,gaelic
Séan,Sean,gaelic
Seán,Sean,gaelic
Shaun,Sean,gaelic
Seann,Sean,gaelic
Seaghán,Sean,gaelic
Shaine,Sean,gaelic
Shayne,Sean,gaelic
Shane,Sean,gaelic
Shon,Sean,gaelic
Seamus,Seamus,gaelic
Sheamus,Seamus,gaelic
Samus,Seamus,gaelic
Séamas,Seamus,gaelic
Seumas,Seamus,gaelic
Shaymus,Seamus,gaelic
Jean,John,hebrew
Joao,John,hebrew
João,John,hebrew
John,John,hebrew
Campbell,Campbell,english
Cambell,Campbell,english
Campbel,Campbell,english
Humboldt,Humboldt,germanic
Humbolt,Humboldt,germanic
Caviglia,Caviglia,italian
Cavillia,Caviglia,italian
Brandt,Brandt,germanic
Brant,Brant,germanic
Oliver,Oliver,germanic
Olivier,Oliver,germanic
William,William,germanic
Willyam,William,germanic
Knopfler,Knopfler,germanic
Knofler,Knopfler,germanic
Knight,Knight,english
Night,Knight,english
Ohara,Ohara,gaelic
O'Hara,Ohara,gaelic
O Hara,Ohara,gaelic
Monk,Monk,germanic
Moncke,Monk,germanic
Murdoch,Murdoch,gaelic
Murdock,Murdoch,gaelic
Moraix,Moraix,french
Morais,Moraix,french
Tarquin,Tarquin,latin
Tarkin,Tarquin,latin
Knox,Knox,english
Knnocks,Knox,english
Knnox,Knox,english
Knocks,Knox,english
Knoks,Knox,english
Knoxx,Knox,english
Knowles,Knowles,english
Knowls,Knowles,english
Frederic,Frederic,germanic
Frederick,Frederic,germanic
Fredric,Frederic,germanic
Federico,Frederic,germanic
Thompson,Thompson,english
Thomson,Thompson,english
LLoyd,LLoyd,english
Loyd,LLoyd,english
Strathmore,Strathmore,english
Stratmore,Strathmore,english
Kinghorne,Kinghorne,english
Kinghorn,Kinghorne,english
Dempsey,Dempsey,gaelic
Dempsy,Dempsey,gaelic
Zdislaw,Zdislaw,slavic
Zdzisław,Zdislaw,slavic
Zdislav,Zdislaw,slavic
Zđislav,Zdislaw,slavic
Li,Li,chinese
Lee,Li,chinese
Fitzpatrick,Fitzpatrick,english
Fitspatrick,Fitzpatrick,english
Dupond,Dupond,french
Dupont,Dupond,french
Athol,Athol,english
Atholl,Athol,english
Athole,Athol,english
Atol,Athol,english
Urquhart,Urquhart,gaelic
Auckart,Urquhart,gaelic
Westley,Westley,english
Wesley,Westley,english
Gloucester,Gloucester,english
Glouster,Gloucester,english
Leicester,Leicester,english
Leister,Leicester,english
Mohammed,Mohammed,arabic
Mehmet,Mohammed,arabic
Mahmoud,Mohammed,arabic
Mohamed,Mohammed,arabic
Julian,Julian,latin
Rouliann,Julian,latin
Djoulyan,Julian,latin
Thibaud,Thibaud,germanic
Thibauld,Thibaud,germanic
Thibaut,Thibaud,germanic
Thibault,Thibaud,germanic
Leah,Leah,hebrew
Lea,Leah,hebrew
Léa,Leah,hebrew
Sheryl,Sheryl,english
Cheryl,Sheryl,english
Chéryl,Sheryl,english
Archibald,Archibald,greek
Arcimboldos,Archibald,greek
Perrault,Perrault,french
Perrot,Perrault,french
Thomas,Thomas,greek
Tomas,Thomas,greek
Tomás,Thomas,greek
Anthony,Anthony,greek
Antony,Anthony,greek
Vincent,Vincent,latin
Vincente,Vincent,latin
Vicente,Vincent,latin
Bixente,Vincent,latin
Ahmad,Ahmad,arabic
Achmed,Ahmad,arabic
Ahmed,Ahmad,arabic
Jennifer,Jennifer,hebrew
Jenifer,Jennifer,hebrew
Jenniffer,Jennifer,hebrew
Yennefer,Jennifer,hebrew
Gerard,Gerard,germanic
Gérard,Gerard,germanic
Gerardt,Gerard,germanic
Gerhart,Gerard,germanic
Cixi,Cixi,chinese
Cíxǐ,Cixi,chinese
Tseu-Hi,Cixi,chinese
Tseu Hi,Cixi,chinese
慈禧,Cixi,chinese
Laotseu,Laotseu,chinese
Lao-Tseu,Laotseu,chinese
Lao Tseu,Laotseu,chinese
Laozi,Laotseu,chinese
Lao Zi,Laotseu,chinese
老子,Laotseu,chinese
Lǎozǐ,Laotseu,chinese
Lao Tzu,Laotseu,chinese
Lao Tze,Laotseu,chinese
Wallace,Wallace,english
Wallas,Wallace,english
Caesar,Caesar,latin
Cesar,Caesar,latin
Cesare,Caesar,latin
César,Caesar,latin
Bonnie,Bonnie,english
Bonny,Bonnie,english
Raegar,Rhaegar,fantasy
Rhaegar,Rhaegar,fantasy
Fhiriad,Firhiad,fantasy
Firiad,Firhiad,fantasy
Emmanuel,Emmanuel,hebrew
Immanuel,Emmanuel,hebrew
Brian,Brian,gaelic
Bryan,Brian,gaelic
Sonia,Sonia,slavic
Sonja,Sonia,slavic
Soña,Sonia,slavic
